date,time,matchday,home_team,away_team,city,stadium,status,result
2026-06-11,16:00,1,Mexico,South Africa,Mexico City,Estadio Banorte,To be played,
2026-06-11,23:00,1,South Korea,Czech Republic,Zapopan,Estadio Akron,To be played,
2026-06-12,16:00,1,Canada,Bosnia & Herzegovina,Toronto,BMO Field,To be played,
2026-06-12,22:00,1,USA,Paraguay,"Inglewood, California",SoFi Stadium,To be played,
2026-06-13,16:00,1,Qatar,Switzerland,,,To be played,
2026-06-13,19:00,1,Brazil,Morocco,"East Rutherford, New Jersey",MetLife Stadium,To be played,
2026-06-13,22:00,1,Haiti,Scotland,Foxborough,Gillette Stadium,To be played,
2026-06-14,01:00,1,Australia,Türkiye,Vancouver,BC Place,To be played,
2026-06-14,14:00,1,Germany,Curaçao,"Houston, Texas",NRG Stadium,To be played,
2026-06-14,17:00,1,Netherlands,Japan,,,To be played,
2026-06-14,20:00,1,Ivory Coast,Ecuador,"Philadelphia, Pennsylvania",Lincoln Financial Field,To be played,
2026-06-14,23:00,1,Sweden,Tunisia,Monterrey,Estadio BBVA,To be played,
2026-06-15,13:00,1,Spain,Cape Verde Islands,Atlanta,Mercedes-Benz Stadium,To be played,
2026-06-15,16:00,1,Belgium,Egypt,Seattle,Lumen Field,To be played,
2026-06-15,19:00,1,Saudi Arabia,Uruguay,"Miami Gardens, Florida",Hard Rock Stadium,To be played,
2026-06-15,22:00,1,Iran,New Zealand,"Inglewood, California",SoFi Stadium,To be played,
2026-06-16,16:00,1,France,Senegal,"East Rutherford, New Jersey",MetLife Stadium,To be played,
2026-06-16,19:00,1,Iraq,Norway,Foxborough,Gillette Stadium,To be played,
2026-06-16,22:00,1,Argentina,Algeria,"Kansas City, Missouri",Arrowhead Stadium,To be played,
2026-06-17,01:00,1,Austria,Jordan,,,To be played,
2026-06-17,14:00,1,Portugal,Congo DR,"Houston, Texas",NRG Stadium,To be played,
2026-06-17,17:00,1,England,Croatia,,,To be played,
2026-06-17,20:00,1,Ghana,Panama,Toronto,BMO Field,To be played,
2026-06-17,23:00,1,Uzbekistan,Colombia,Mexico City,Estadio Azteca,To be played,
2026-06-18,13:00,2,Czech Republic,South Africa,Atlanta,Mercedes-Benz Stadium,To be played,
2026-06-18,16:00,2,Switzerland,Bosnia & Herzegovina,"Inglewood, California",SoFi Stadium,To be played,
2026-06-18,19:00,2,Canada,Qatar,Vancouver,BC Place,To be played,
2026-06-18,22:00,2,Mexico,South Korea,Zapopan,Estadio Akron,To be played,
2026-06-19,16:00,2,USA,Australia,Seattle,Lumen Field,To be played,
2026-06-19,19:00,2,Scotland,Morocco,Foxborough,Gillette Stadium,To be played,
2026-06-19,21:30,2,Brazil,Haiti,"Philadelphia, Pennsylvania",Lincoln Financial Field,To be played,
2026-06-20,00:00,2,Türkiye,Paraguay,,,To be played,
2026-06-20,14:00,2,Netherlands,Sweden,"Houston, Texas",NRG Stadium,To be played,
2026-06-20,17:00,2,Germany,Ivory Coast,Toronto,BMO Field,To be played,
2026-06-20,21:00,2,Ecuador,Curaçao,"Kansas City, Missouri",Arrowhead Stadium,To be played,
2026-06-21,01:00,2,Tunisia,Japan,Monterrey,Estadio BBVA,To be played,
2026-06-21,13:00,2,Spain,Saudi Arabia,Atlanta,Mercedes-Benz Stadium,To be played,
2026-06-21,16:00,2,Belgium,Iran,"Inglewood, California",SoFi Stadium,To be played,
2026-06-21,19:00,2,Uruguay,Cape Verde Islands,"Miami Gardens, Florida",Hard Rock Stadium,To be played,
2026-06-21,22:00,2,New Zealand,Egypt,Vancouver,BC Place,To be played,
2026-06-22,14:00,2,Argentina,Austria,,,To be played,
2026-06-22,18:00,2,France,Iraq,"Philadelphia, Pennsylvania",Lincoln Financial Field,To be played,
2026-06-22,21:00,2,Norway,Senegal,"East Rutherford, New Jersey",MetLife Stadium,To be played,
2026-06-23,00:00,2,Jordan,Algeria,,,To be played,
2026-06-23,14:00,2,Portugal,Uzbekistan,"Houston, Texas",NRG Stadium,To be played,
2026-06-23,17:00,2,England,Ghana,Foxborough,Gillette Stadium,To be played,
